Point	Row	Column	_s_FWHM
1	1	1	0.4192096
2	1	2	0.39998397
3	1	3	0.38626081
4	1	4	0.37157983
5	1	5	0.3488524
6	1	6	0.33061558
7	1	7	0.30769739
8	1	8	0.2918514
9	1	9	0.2744222
10	1	10	0.25254336
11	1	11	0.24253923
12	2	1	0.42669865
13	2	2	0.41662237
14	2	3	0.39828143
15	2	4	0.37222159
16	2	5	0.35809577
17	2	6	0.33621582
18	2	7	0.31290719
19	2	8	0.29444784
20	2	9	0.27287099
21	2	10	0.25855279
22	2	11	0.24173599
23	3	1	0.414985
24	3	2	0.40502861
25	3	3	0.38706642
26	3	4	0.36228505
27	3	5	0.34635156
28	3	6	0.32414821
29	3	7	0.29989821
30	3	8	0.28856838
31	3	9	0.2678844
32	3	10	0.2553888
33	3	11	0.243009
34	4	1	0.38997823
35	4	2	0.3740564
36	4	3	0.35883418
37	4	4	0.34368464
38	4	5	0.32844201
39	4	6	0.3099632
40	4	7	0.29491222
41	4	8	0.27923098
42	4	9	0.26496336
43	4	10	0.24957098
44	4	11	0.23747538
