Point	Row	Column	110_s_Position
1	1	1	0.46415141
2	1	2	0.49340695
3	1	3	0.51650602
4	1	4	0.54155183
5	1	5	0.57098901
6	1	6	0.59814113
7	1	7	0.62622541
8	1	8	0.65508598
9	1	9	0.67878062
10	1	10	0.70159274
11	1	11	0.7100631
12	2	1	0.45694405
13	2	2	0.47923136
14	2	3	0.50865704
15	2	4	0.54020423
16	2	5	0.56968814
17	2	6	0.60343128
18	2	7	0.63289201
19	2	8	0.66398507
20	2	9	0.690732
21	2	10	0.7088536
22	2	11	0.72821021
23	3	1	0.47199419
24	3	2	0.49582201
25	3	3	0.52551883
26	3	4	0.55477726
27	3	5	0.58227915
28	3	6	0.616763
29	3	7	0.6506778
30	3	8	0.67560875
31	3	9	0.703439
32	3	10	0.71791959
33	3	11	0.73172921
34	4	1	0.49586925
35	4	2	0.52062082
36	4	3	0.54402572
37	4	4	0.56926668
38	4	5	0.59709477
39	4	6	0.62485659
40	4	7	0.65066224
41	4	8	0.67253935
42	4	9	0.69180292
43	4	10	0.71024513
44	4	11	0.71793234
