Point	Row	Column	Fe_at
1	1	1	0.27946523
2	1	2	0.27336454
3	1	3	0.26531547
4	1	4	0.25763044
5	1	5	0.24795483
6	1	6	0.23900469
7	1	7	0.22985317
8	1	8	0.22130112
9	1	9	0.21152626
10	1	10	0.20720142
11	1	11	0.20175156
12	2	1	0.28080806
13	2	2	0.27458206
14	2	3	0.26710552
15	2	4	0.26084515
16	2	5	0.25220871
17	2	6	0.241851
18	2	7	0.23014168
19	2	8	0.21846892
20	2	9	0.20646489
21	2	10	0.19692399
22	2	11	0.19108801
23	3	1	0.25316995
24	3	2	0.24886547
25	3	3	0.24136904
26	3	4	0.23427615
27	3	5	0.22567125
28	3	6	0.21610394
29	3	7	0.20599583
30	3	8	0.1958075
31	3	9	0.18485397
32	3	10	0.17701091
33	3	11	0.17083761
34	4	1	0.22509703
35	4	2	0.21863614
36	4	3	0.20841846
37	4	4	0.201617
38	4	5	0.19350396
39	4	6	0.18495069
40	4	7	0.1754773
41	4	8	0.16671222
42	4	9	0.16111314
43	4	10	0.15505289
44	4	11	0.15193892
