Point	Row	Column	Norm_d
1	1	1	0.27774686
2	1	2	0.33432263
3	1	3	0.36950472
4	1	4	0.38922897
5	1	5	0.38125271
6	1	6	0.3484202
7	1	7	0.30451989
8	1	8	0.23718543
9	1	9	0.16972733
10	1	10	0.089037284
11	1	11	0.013973908
12	2	1	0.65337288
13	2	2	0.78952575
14	2	3	0.89884377
15	2	4	0.96735299
16	2	5	1
17	2	6	0.97854447
18	2	7	0.92005193
19	2	8	0.82749027
20	2	9	0.71650279
21	2	10	0.58276141
22	2	11	0.45155507
23	3	1	0.46744573
24	3	2	0.6047734
25	3	3	0.7340011
26	3	4	0.84437025
27	3	5	0.93167627
28	3	6	0.96840411
29	3	7	0.97557658
30	3	8	0.93909603
31	3	9	0.8657639
32	3	10	0.75706422
33	3	11	0.63952267
34	4	1	0
35	4	2	0.087367833
36	4	3	0.18394856
37	4	4	0.26995611
38	4	5	0.35676745
39	4	6	0.4231126
40	4	7	0.46806407
41	4	8	0.49242565
42	4	9	0.48414025
43	4	10	0.45235887
44	4	11	0.38836333
