Point	Row	Column	Co_at
1	1	1	0.16165848
2	1	2	0.17056887
3	1	3	0.18004318
4	1	4	0.19007903
5	1	5	0.20180938
6	1	6	0.21299443
7	1	7	0.22353183
8	1	8	0.23447864
9	1	9	0.24292783
10	1	10	0.25153211
11	1	11	0.26033506
12	2	1	0.14614035
13	2	2	0.15110369
14	2	3	0.1569151
15	2	4	0.1652552
16	2	5	0.17632164
17	2	6	0.18837541
18	2	7	0.2036615
19	2	8	0.21679682
20	2	9	0.23030972
21	2	10	0.24505535
22	2	11	0.25535354
23	3	1	0.18397415
24	3	2	0.18778685
25	3	3	0.1910798
26	3	4	0.1970987
27	3	5	0.20526743
28	3	6	0.21379772
29	3	7	0.2252686
30	3	8	0.23595898
31	3	9	0.24728277
32	3	10	0.25705299
33	3	11	0.26562408
34	4	1	0.22466913
35	4	2	0.2335121
36	4	3	0.24172339
37	4	4	0.24903446
38	4	5	0.2572886
39	4	6	0.26812044
40	4	7	0.27555084
41	4	8	0.28314134
42	4	9	0.29179502
43	4	10	0.29768491
44	4	11	0.30317163
