Point	Row	Column	Frac_111
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	0.24004236
6	1	6	0.25875989
7	1	7	0.33565381
8	1	8	0.40674105
9	1	9	0.24510789
10	1	10	0.22559126
11	1	11	0.25970915
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	0.2192028
18	2	7	0.28772631
19	2	8	0.36012307
20	2	9	0.36271492
21	2	10	0.25780973
22	2	11	0.23036875
23	3	1	
24	3	2	
25	3	3	0.20061696
26	3	4	0.20937459
27	3	5	0.21432081
28	3	6	0.29254726
29	3	7	0.34301862
30	3	8	0.37504804
31	3	9	0.35970384
32	3	10	0.22723848
33	3	11	0.23728877
34	4	1	0.26273644
35	4	2	0.3128531
36	4	3	0.37152311
37	4	4	0.28778186
38	4	5	0.22233425
39	4	6	0.2175622
40	4	7	0.22329326
41	4	8	0.20941666
42	4	9	0.19826092
43	4	10	0.21029112
44	4	11	0.20264943
