Point	Row	Column	Fe_at
1	1	1	1.40927
2	1	2	1.40444
3	1	3	1.27843
4	1	4	1.24131
5	1	5	1.1572801
6	1	6	1.1592098
7	1	7	1.1016099
8	1	8	1.0700101
9	1	9	0.98351008
10	1	10	0.99343997
11	1	11	1.09703
12	2	1	1.47137
13	2	2	1.4964999
14	2	3	1.45127
15	2	4	1.42878
16	2	5	1.3225399
17	2	6	1.39475
18	2	7	1.27768
19	2	8	1.28835
20	2	9	1.3043101
21	2	10	1.23816
22	2	11	1.4628501
23	3	1	1.6969
24	3	2	1.64841
25	3	3	1.66951
26	3	4	1.7448502
27	3	5	1.71012
28	3	6	1.74166
29	3	7	1.6295398
30	3	8	1.67225
31	3	9	1.6569102
32	3	10	1.6538198
33	3	11	1.7903198
34	4	1	1.76784
35	4	2	1.94981
36	4	3	1.9603601
37	4	4	1.92489
38	4	5	1.9509202
39	4	6	1.96483
40	4	7	1.9870498
41	4	8	2.1758399
42	4	9	2.0778396
43	4	10	2.0718701
44	4	11	2.3231297
