Point	Row	Column	MaxInt_110
1	1	1	494.9024
2	1	2	363.8161
3	1	3	464.64215
4	1	4	826.3031
5	1	5	1567.6174
6	1	6	2765.0027
7	1	7	3501.3411
8	1	8	3496.6545
9	1	9	5074.3164
10	1	10	5298.9287
11	1	11	4692.6934
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	537.56244
17	2	6	1935.9067
18	2	7	3454.1414
19	2	8	3973.1382
20	2	9	4017.4272
21	2	10	5037.3862
22	2	11	4933.1377
23	3	1	1088.4678
24	3	2	1029.4287
25	3	3	1409.3311
26	3	4	2038.4283
27	3	5	2882.5178
28	3	6	3486.7925
29	3	7	3640.5708
30	3	8	3472.1404
31	3	9	3606.9023
32	3	10	4829.2827
33	3	11	4357.3906
34	4	1	2345.5742
35	4	2	2669.1462
36	4	3	2615.2498
37	4	4	3621.2095
38	4	5	4473.3184
39	4	6	4588.2925
40	4	7	4629.0312
41	4	8	4730.4609
42	4	9	4659.1016
43	4	10	4293.8398
44	4	11	3956.8809
