FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba0.83936Co0.65681Fe0.02592Y0.0684Zr0.24886O3,01502,1,1,1,4.0880790000000005,0.33460999,0.49656796,,,494.9024,,,30.896833,,,203.53,44.14399,0.8899989863524024,2.149997551300747,1.4899983029944714,137.3268435941757,1.6966682,1.4318345,0.8119014166666667,68.93857898795,0.839360955973277,0.524556885283995,1.5015684782708807,1.8351960871207635,1.9920173233941987,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.84811Co0.66947Fe0.02596Y0.06542Zr0.23915O3,01502,2,1,2,4.0851502,0.36822999,0.54055166,,,363.8161,,,30.919537,,,207.528,44.14399,0.8899959025805226,2.1499901017394647,1.4899931402752569,137.32636776817463,1.7039923000000001,1.4285670000000001,0.8102128166666667,68.53618256365,0.8481139045825076,0.5223004250550443,1.5049977367106089,1.8390145275722807,2.003706110135894,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.8581Co0.68556Fe0.02375Y0.05678Zr0.2339O3,01502,3,1,3,4.0831547,0.39534,0.49849188,,,464.64215,,,30.935024,,,211.528,44.14399,0.889996821535206,2.1499923216861716,1.4899946787499514,137.32650956288228,1.7126739,1.423505,0.807190675,68.1139276772,0.8581030645509892,0.519653403683682,1.510351085304352,1.8459017489888017,2.016129655797988,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.84228Co0.68629Fe0.02287Y0.06165Zr0.22919O3,01502,4,1,4,4.0823183,0.42539999,0.51004982,,,826.3031,,,30.941521,,,215.524,44.14399,0.8900040745186659,2.15000984293835,1.4900068213851823,137.32762869823014,1.712113,1.4247239999999999,0.8080155583333333,68.11111175904999,0.8422761439664377,0.5198278819906548,1.5090711203983018,1.8440323407368164,2.016229439684389,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.86095Co0.70163Fe0.02154Y0.05037Zr0.22646O3,01502,5,1,5,4.0803657,0.44914001,0.50535452,0.50058514,,1567.6174,495.15204000000006,,30.956699,38.136093,,219.52199,44.14399,0.8899982258930691,2.1499957142360655,1.4899970298659246,137.32672625530054,1.7211257999999998,1.4190355,0.8045889666666668,67.68897361235,0.8609517162027044,0.5171023674696348,1.5151105904229074,1.851873554814996,2.028790199150619,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.85617Co0.70677Fe0.02152Y0.05193Zr0.21978O3,01502,6,1,6,4.077697799999999,0.46675,0.52229095,0.48007903,,2765.0027,965.2362099999999,,30.977460999999998,38.169003000000004,,223.51997000000003,44.14399,0.8899967719722793,2.149992201955506,1.4899945957738159,137.3265019153227,1.7237711999999998,1.4184005000000002,0.80439875,67.52009014065,0.8561731053376603,0.5163079485098019,1.5157864100834044,1.8523084425153766,2.0338613534025223,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.86187Co0.71585Fe0.02051Y0.0442Zr0.21944O3,01502,7,1,7,4.077403100000001,0.47617,0.53223181,0.43384933,,3501.3411,1769.0153,,30.979757,38.17009,,227.51799,44.14399,0.8899973919360928,2.1499936996208984,1.4899956336907623,137.32659757573913,1.7291105,1.4148035,0.8021825916666667,67.28054172075001,0.8618725256389064,0.5147140058059291,1.519641207857415,1.857427036150274,2.0411042191918947,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.85214Co0.72223Fe0.01982Y0.04858Zr0.20938O3,01502,8,1,8,4.0785856,0.47609001,0.57529777,0.44367272,,3496.6545,2397.3223,,30.970546999999996,38.159977000000005,,231.51597999999998,44.14399,0.8899951772613311,2.14998834956389,1.4899919259768353,137.3262558514234,1.731806,1.4147415000000003,0.8023999333333334,67.08969663785,0.852144617607639,0.5139115912875525,1.5197040233596664,1.8569193043014152,2.046905303398675,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.8608Co0.73193Fe0.0183Y0.04587Zr0.2039O3,01502,9,1,9,4.0836697,0.46342999,0.47674039,0.45461249,,5074.3164,1647.5929,,30.931026,38.113258,,235.51398999999998,44.14399,0.8900002698921223,2.1500006519865877,1.4900004518418677,137.32704164435447,1.7366658,1.4123364999999999,0.8010257666666668,66.83562185585,0.8607997389628445,0.5124764188320645,1.5223005650470607,1.8601155091954813,2.0546983454502636,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.85258Co0.73958Fe0.0184Y0.03981Zr0.20221O3,01502,10,1,10,4.0882859,0.44728999999999997,0.45500931,0.44860259,,5298.9287,1543.6189,,30.895227000000002,38.058586,,239.51398999999998,44.14399,0.8899980483175138,2.1499952852614097,1.489996732576512,137.32669885539238,1.7415899,1.4092765000000003,0.7992329666666667,66.5991072866,0.8525818696282056,0.5110261883796604,1.525602169099825,1.8642833750849768,2.061990084407979,4_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.3,850,N,1000.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
