Point	Row	Column	d_um
1	1	1	0.33460999
2	1	2	0.36822999
3	1	3	0.39534
4	1	4	0.42539999
5	1	5	0.44914001
6	1	6	0.46675
7	1	7	0.47617
8	1	8	0.47609001
9	1	9	0.46342999
10	1	10	0.44729
11	1	11	0.41845
12	2	1	0.38350999
13	2	2	0.42036
14	2	3	0.45585999
15	2	4	0.49008
16	2	5	0.51492
17	2	6	0.53262001
18	2	7	0.54101002
19	2	8	0.53439999
20	2	9	0.51923001
21	2	10	0.49022001
22	2	11	0.45096001
23	3	1	0.36827001
24	3	2	0.39833999
25	3	3	0.42804
26	3	4	0.45664999
27	3	5	0.47793999
28	3	6	0.48824
29	3	7	0.49247
30	3	8	0.48111001
31	3	9	0.46467999
32	3	10	0.43915999
33	3	11	0.40665999
34	4	1	0.29365
35	4	2	0.31485
36	4	3	0.33581999
37	4	4	0.35253
38	4	5	0.36563
39	4	6	0.37584001
40	4	7	0.37281001
41	4	8	0.36564001
42	4	9	0.34896001
43	4	10	0.33344999
44	4	11	0.30559999
