Point	Row	Column	Zr_at
1	1	1	13.5299
2	1	2	12.94038
3	1	3	12.58822
4	1	4	12.44062
5	1	5	12.169201
6	1	6	11.840669
7	1	7	11.78579
8	1	8	11.304661
9	1	9	10.957561
10	1	10	10.91477
11	1	11	10.60099
12	2	1	14.46085
13	2	2	14.261108
14	2	3	13.84892
15	2	4	13.50492
16	2	5	13.289248
17	2	6	12.7852
18	2	7	12.43191
19	2	8	12.11274
20	2	9	11.804901
21	2	10	11.30093
22	2	11	11.229621
23	3	1	14.73063
24	3	2	14.79918
25	3	3	14.01199
26	3	4	14.024892
27	3	5	13.65278
28	3	6	13.23919
29	3	7	12.779009
30	3	8	12.47399
31	3	9	12.152701
32	3	10	11.930669
33	3	11	11.276299
34	4	1	14.74541
35	4	2	14.34362
36	4	3	14.29772
37	4	4	13.8534
38	4	5	13.702791
39	4	6	13.11038
40	4	7	13.060769
41	4	8	12.19301
42	4	9	12.333828
43	4	10	11.984771
44	4	11	11.923109
