Point	Row	Column	y_mm
1	1	1	44.14399
2	1	2	44.14399
3	1	3	44.14399
4	1	4	44.14399
5	1	5	44.14399
6	1	6	44.14399
7	1	7	44.14399
8	1	8	44.14399
9	1	9	44.14399
10	1	10	44.14399
11	1	11	44.14399
12	2	1	31.646
13	2	2	31.646
14	2	3	31.646
15	2	4	31.646
16	2	5	31.646
17	2	6	31.646
18	2	7	31.646
19	2	8	31.646
20	2	9	31.646
21	2	10	31.646
22	2	11	31.646
23	3	1	19.152
24	3	2	19.152
25	3	3	19.152
26	3	4	19.152
27	3	5	19.152
28	3	6	19.152
29	3	7	19.152
30	3	8	19.152
31	3	9	19.152
32	3	10	19.152
33	3	11	19.152
34	4	1	6.6539998
35	4	2	6.6539998
36	4	3	6.6539998
37	4	4	6.6539998
38	4	5	6.6539998
39	4	6	6.6539998
40	4	7	6.6539998
41	4	8	6.6539998
42	4	9	6.6539998
43	4	10	6.6539998
44	4	11	6.6539998
