Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	ASR	Temp_C
72	-20	23	0.46781605	0.16843694	0.051256042	0.15519077	0.15730019	71188.492	351
73	-24	23	0.46835181	0.17318295	0.052596934	0.14464544	0.16122288	201297.55	351
74	-28	23	0.46602505	0.17561987	0.055112273	0.13779099	0.16545181	160114.41	351
75	-32	23	0.4667657	0.17524847	0.055301521	0.13087225	0.17181206	86412.336	351
76	-36	23	0.4649888	0.17798214	0.055866309	0.12537286	0.17578991	170619.89	351
77	-40	23	0.46102691	0.1750998	0.058345851	0.12141345	0.18411398	205146	351
78	0	26.75	0.48236641	0.13738059	0.035158448	0.2134814	0.13161315	233278.97	351
79	-4	26.75	0.47782487	0.14548883	0.041446567	0.20021306	0.13502669	186296.44	351
80	-8	26.75	0.47325227	0.15454209	0.044569608	0.18925625	0.1383798	150545.12	351
81	-12	26.75	0.47065172	0.16212647	0.047345478	0.1768204	0.14305595	117734.33	351
82	-16	26.75	0.47147617	0.16673994	0.049068913	0.16666971	0.14604527	115472.38	351
83	-20	26.75	0.46675286	0.17400862	0.055391155	0.15432689	0.14952049	30135.355	351
84	-24	26.75	0.46729651	0.17931032	0.055707816	0.14432423	0.15336113	27105.596	351
85	-28	26.75	0.46299699	0.18200551	0.059457712	0.1381593	0.15738049	97844.906	351
86	-32	26.75	0.46412969	0.18142293	0.060031444	0.13097809	0.16343786	112487.23	351
87	-36	26.75	0.46243739	0.18492092	0.060277537	0.12605584	0.16630831	176183.66	351
88	-40	26.75	0.45897442	0.18156549	0.062922917	0.12217875	0.17435843	227576.97	351
89	0	30.5	0.48217797	0.14080487	0.036492575	0.20933694	0.13118766	268606.16	351
90	-4	30.5	0.47711694	0.14919347	0.042747784	0.19678938	0.13415243	180600.73	351
91	-8	30.5	0.47372761	0.15813929	0.046630275	0.1855862	0.13591662	173635.83	351
92	-12	30.5	0.47023439	0.16586608	0.050066464	0.17357689	0.14025618	150937.81	351
93	-16	30.5	0.46979582	0.17240518	0.052334379	0.16335481	0.14210978	45225.738	351
94	-20	30.5	0.46607253	0.17864178	0.058043271	0.15201372	0.1452287	50747.215	351
95	-24	30.5	0.46609795	0.18402052	0.05927198	0.14266869	0.14794087	125192.47	351
96	-28	30.5	0.46288341	0.18675326	0.061983127	0.13689749	0.15148272	125952.73	351
97	-32	30.5	0.46300849	0.18698673	0.063540876	0.13011722	0.15634668	146187.73	351
98	-36	30.5	0.46204647	0.18932347	0.063196085	0.12545761	0.15997636	161732.33	351
99	-40	30.5	0.45764425	0.18693331	0.066142917	0.12117425	0.16810526	209795.56	351
100	0	34.5	0.48197266	0.1445823	0.037914205	0.20447554	0.13105531	645283.12	351
101	-4	34.5	0.47617772	0.15330726	0.043971144	0.19292422	0.13361967	700449.5	351
102	-8	34.5	0.47449192	0.16184771	0.048714176	0.18133993	0.13360627	747604.81	351
103	-12	34.5	0.46985409	0.16975257	0.053047579	0.16979916	0.1375466	647545.06	351
104	-16	34.5	0.46775454	0.1786176	0.056006603	0.15932319	0.13829806	636172.5	351
105	-20	34.5	0.46540973	0.18342979	0.060628839	0.14930849	0.14122315	657189.75	351
106	-24	34.5	0.46479595	0.18881217	0.063148141	0.14068383	0.14255992	731048.62	351
107	-28	34.5	0.4632405	0.19154875	0.064378232	0.13528405	0.14554845	832647.69	351
108	-32	34.5	0.46206114	0.19282123	0.067083977	0.12904035	0.14899331	841946.81	351
109	-36	34.5	0.46198404	0.19360331	0.066064239	0.12460926	0.15373915	1034840.6	351
110	-40	34.5	0.45634395	0.19247881	0.069354884	0.11981238	0.16200997	1389526.4	351
111	0	38.25	0.48178014	0.14812364	0.039246984	0.199918	0.13093123	746348.19	351
112	-4	38.25	0.47529721	0.15716393	0.045118041	0.18930063	0.13312019	771889.31	351
113	-8	38.25	0.47520849	0.16532435	0.050667834	0.17735904	0.13144028	1172442.4	351
114	-12	38.25	0.46949753	0.17339617	0.055842381	0.16625755	0.13500638	1187396.4	351
115	-16	38.25	0.46584085	0.18444172	0.059449311	0.15554355	0.13472459	974050.81	351
116	-20	38.25	0.46478832	0.18791856	0.063052803	0.14677234	0.13746797	1292451.2	351
117	-24	38.25	0.46357533	0.19330433	0.066782042	0.13882303	0.13751526	1434765.4	351
118	-28	38.25	0.46357533	0.1960445	0.066623643	0.13377146	0.13998507	1290566.2	351
119	-32	38.25	0.46117303	0.19829108	0.07040564	0.12803075	0.14209953	1426220.2	351
120	-36	38.25	0.46192551	0.19761565	0.068753146	0.12381393	0.14789176	1535610.5	351
121	-40	38.25	0.45512491	0.19767773	0.072366111	0.1185356	0.15629563	2259747.5	351
122	0	42	0.48158765	0.151665	0.040579762	0.19536045	0.13080713	817128.25	351
123	-4	42	0.4744167	0.16102061	0.046264939	0.18567705	0.13262072	1010650.4	351
124	-8	42	0.47592503	0.16880098	0.052621499	0.17337818	0.12927432	1315447.6	351
125	-12	42	0.46914098	0.17703976	0.058637179	0.16271593	0.13246617	1742955.6	351
126	-16	42	0.46392712	0.19026586	0.06289202	0.1517639	0.1311511	1618548.5	351
127	-20	42	0.46416691	0.19240734	0.065476775	0.14423621	0.13371277	1588703.4	351
128	-24	42	0.46235475	0.19779649	0.070415944	0.13696222	0.13247061	1801326.4	351
129	-28	42	0.46391013	0.20054027	0.068869054	0.13225885	0.13442168	2169301.2	351
130	-32	42	0.46028486	0.20376092	0.073727302	0.12702116	0.13520575	2024882.1	351
131	-36	42	0.46186697	0.20162801	0.071442038	0.1230186	0.14204437	1932079.5	351
132	-40	42	0.45390588	0.20287664	0.07537733	0.11725885	0.1505813	2222237	351
