Point	Row	Column	_s_Sigma
1	1	1	0.16088539
2	1	2	0.14814219
3	1	3	0.14111041
4	1	4	0.12920222
5	1	5	0.1176516
6	1	6	0.10894959
7	1	7	0.1027128
8	1	8	0.089174204
9	1	9	0.078643799
10	1	10	0.066696793
11	1	11	0.064883009
12	2	1	0.16268581
13	2	2	0.15970178
14	2	3	0.14532802
15	2	4	0.1409876
16	2	5	0.12526999
17	2	6	0.11120061
18	2	7	0.101732
19	2	8	0.085658811
20	2	9	0.081239
21	2	10	0.070254199
22	2	11	0.060409799
23	3	1	0.1628186
24	3	2	0.1521972
25	3	3	0.14028342
26	3	4	0.13012402
27	3	5	0.12230099
28	3	6	0.106791
29	3	7	0.097764201
30	3	8	0.086272992
31	3	9	0.075219601
32	3	10	0.0689964
33	3	11	0.061816201
34	4	1	0.13990341
35	4	2	0.14058501
36	4	3	0.13216458
37	4	4	0.12119821
38	4	5	0.1131206
39	4	6	0.1050216
40	4	7	0.09311121
41	4	8	0.085398391
42	4	9	0.079638593
43	4	10	0.071986794
44	4	11	0.064073592
