Point	Row	Column	110_s_Area
1	1	1	0.036318
2	1	2	0.031057198
3	1	3	0.028105401
4	1	4	0.029745404
5	1	5	0.0259746
6	1	6	0.023767397
7	1	7	0.0220364
8	1	8	0.0188962
9	1	9	0.0187246
10	1	10	0.022875797
11	1	11	0.033197202
12	2	1	0.034573805
13	2	2	0.030714396
14	2	3	0.030138403
15	2	4	0.0276476
16	2	5	0.025245598
17	2	6	0.021591602
18	2	7	0.0193254
19	2	8	0.017817002
20	2	9	0.0164262
21	2	10	0.017697601
22	2	11	0.0257186
23	3	1	0.032852001
24	3	2	0.031586401
25	3	3	0.028414603
26	3	4	0.026270403
27	3	5	0.024363998
28	3	6	0.0227022
29	3	7	0.018978201
30	3	8	0.016760198
31	3	9	0.015786801
32	3	10	0.0167822
33	3	11	0.0255644
34	4	1	0.036247205
35	4	2	0.033094998
36	4	3	0.029715396
37	4	4	0.029050402
38	4	5	0.0263374
39	4	6	0.0231688
40	4	7	0.019998003
41	4	8	0.018945599
42	4	9	0.019194799
43	4	10	0.022064798
44	4	11	0.030444397
