Point	Row	Column	Pos_200
1	1	1	43.694935
2	1	2	43.724995
3	1	3	43.762352
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	43.756161
15	2	4	43.844013
16	2	5	43.945705
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	43.821182
27	3	5	43.844742
28	3	6	43.946484
29	3	7	43.975876
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	43.712002
35	4	2	43.763355
36	4	3	43.80579
37	4	4	43.868931
38	4	5	43.850563
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
