Point	Row	Column	Norm_Int110
1	1	1	24.315655
2	1	2	24.463947
3	1	3	24.716709
4	1	4	27.341614
5	1	5	29.764597
6	1	6	28.552336
7	1	7	28.082296
8	1	8	27.766853
9	1	9	26.96456
10	1	10	26.156162
11	1	11	25.678644
12	2	1	28.276424
13	2	2	25.098358
14	2	3	24.284103
15	2	4	24.077486
16	2	5	23.066681
17	2	6	22.730764
18	2	7	22.828846
19	2	8	22.067852
20	2	9	21.707872
21	2	10	25.572161
22	2	11	26.041166
23	3	1	25.568316
24	3	2	22.704954
25	3	3	22.861767
26	3	4	22.109318
27	3	5	22.284657
28	3	6	21.722328
29	3	7	22.476072
30	3	8	24.278851
31	3	9	22.428635
32	3	10	26.682472
33	3	11	26.781023
34	4	1	16.960331
35	4	2	16.431194
36	4	3	17.725672
37	4	4	18.144865
38	4	5	23.198822
39	4	6	24.604776
40	4	7	24.447382
41	4	8	25.45582
42	4	9	24.907057
43	4	10	26.122522
44	4	11	26.853893
