Point	Row	Column	Pos_111
1	1	1	37.558445
2	1	2	37.579643
3	1	3	37.599419
4	1	4	37.539066
5	1	5	37.574284
6	1	6	37.636715
7	1	7	37.67783
8	1	8	37.713081
9	1	9	37.741982
10	1	10	37.784977
11	1	11	37.811592
12	2	1	37.321667
13	2	2	37.441319
14	2	3	37.56879
15	2	4	37.628429
16	2	5	37.681252
17	2	6	37.734276
18	2	7	37.777531
19	2	8	37.788074
20	2	9	37.77021
21	2	10	37.753258
22	2	11	37.801022
23	3	1	37.434227
24	3	2	37.551064
25	3	3	37.62986
26	3	4	37.688648
27	3	5	37.728073
28	3	6	37.777908
29	3	7	37.818386
30	3	8	37.83009
31	3	9	37.79755
32	3	10	37.768696
33	3	11	37.81052
34	4	1	37.594639
35	4	2	37.649372
36	4	3	37.684677
37	4	4	37.703159
38	4	5	37.707802
39	4	6	37.678146
40	4	7	37.731621
41	4	8	37.770851
42	4	9	37.752281
43	4	10	37.72839
44	4	11	37.758972
