Point	Row	Column	_s_Position
1	1	1	0.46371606
2	1	2	0.47039148
3	1	3	0.47419682
4	1	4	0.47396678
5	1	5	0.47824439
6	1	6	0.48089156
7	1	7	0.48300347
8	1	8	0.48598167
9	1	9	0.48657745
10	1	10	0.48421201
11	1	11	0.47766784
12	2	1	0.46482956
13	2	2	0.46988463
14	2	3	0.47203168
15	2	4	0.47565597
16	2	5	0.47878286
17	2	6	0.48272735
18	2	7	0.48518485
19	2	8	0.48693389
20	2	9	0.48838577
21	2	10	0.4878208
22	2	11	0.48294362
23	3	1	0.46746334
24	3	2	0.47005507
25	3	3	0.47435197
26	3	4	0.47739393
27	3	5	0.47991902
28	3	6	0.48224908
29	3	7	0.48582989
30	3	8	0.48789647
31	3	9	0.48902515
32	3	10	0.48857892
33	3	11	0.48312122
34	4	1	0.46594054
35	4	2	0.47011554
36	4	3	0.47410384
37	4	4	0.47572324
38	4	5	0.4788771
39	4	6	0.48212355
40	4	7	0.48509082
41	4	8	0.4863008
42	4	9	0.48650151
43	4	10	0.48493481
44	4	11	0.47965971
