Point	Row	Column	Pos_110
1	1	1	30.467125
2	1	2	30.494101
3	1	3	30.511518
4	1	4	30.488878
5	1	5	30.519459
6	1	6	30.573755
7	1	7	30.607752
8	1	8	30.633274
9	1	9	30.658188
10	1	10	30.69463
11	1	11	30.713564
12	2	1	30.314974
13	2	2	30.39941
14	2	3	30.492111
15	2	4	30.544575
16	2	5	30.59304
17	2	6	30.631851
18	2	7	30.662523
19	2	8	30.679836
20	2	9	30.666262
21	2	10	30.661797
22	2	11	30.700441
23	3	1	30.399975
24	3	2	30.480667
25	3	3	30.539101
26	3	4	30.584356
27	3	5	30.62882
28	3	6	30.667511
29	3	7	30.697105
30	3	8	30.706043
31	3	9	30.68644
32	3	10	30.672861
33	3	11	30.714199
34	4	1	30.525488
35	4	2	30.555227
36	4	3	30.582508
37	4	4	30.613462
38	4	5	30.61278
39	4	6	30.586863
40	4	7	30.617023
41	4	8	30.650127
42	4	9	30.646498
43	4	10	30.631035
44	4	11	30.650274
