Point	Zr_at
1	0.32245964
2	0.32290673
3	0.31322435
4	0.3065086
5	0.29376346
6	0.28306431
7	0.27071634
8	0.2618342
9	0.25200096
10	0.23859903
11	0.22920884
12	0.33219311
13	0.33021674
14	0.32102007
15	0.31279311
16	0.30030307
17	0.28891104
18	0.27664432
19	0.26602384
20	0.2553975
21	0.24173738
22	0.23249151
23	0.34192654
24	0.33752674
25	0.32881579
26	0.31907761
27	0.30684268
28	0.29475778
29	0.2825723
30	0.27021348
31	0.25879404
32	0.24487571
33	0.23577419
34	0.35166001
35	0.34483674
36	0.33661151
37	0.32536212
38	0.3133823
39	0.30060452
40	0.28850028
41	0.2744031
42	0.26219058
43	0.24801406
44	0.23905686
45	0.36139348
46	0.35214677
47	0.34440723
48	0.33164665
49	0.31992188
50	0.30645129
51	0.29442829
52	0.27859274
53	0.26558712
54	0.2511524
55	0.24233952
56	0.36385411
57	0.35490564
58	0.347516
59	0.33483359
60	0.32243228
61	0.31012222
62	0.29606581
63	0.2816273
64	0.2687543
65	0.25562036
66	0.24502741
67	0.36631474
68	0.3576645
69	0.35062474
70	0.33802053
71	0.32494265
72	0.31379318
73	0.29770336
74	0.28466189
75	0.27192152
76	0.26008835
77	0.24771529
78	0.36877534
79	0.36042336
80	0.35373348
81	0.3412075
82	0.32745305
83	0.31746414
84	0.29934087
85	0.28769645
86	0.2750887
87	0.26455632
88	0.2504032
89	0.36726677
90	0.35972124
91	0.35290664
92	0.34119275
93	0.32799202
94	0.31712663
95	0.3010236
96	0.28971276
97	0.27756891
98	0.26725975
99	0.25390214
100	0.36575821
101	0.35901913
102	0.35207981
103	0.341178
104	0.32853097
105	0.31678915
106	0.30270633
107	0.29172906
108	0.28004912
109	0.26996315
110	0.25740108
111	0.36424965
112	0.35831699
113	0.351253
114	0.34116325
115	0.32906994
116	0.31645164
117	0.30438906
118	0.29374537
119	0.28252932
120	0.27266657
121	0.26090002
122	0.36274105
123	0.35761487
124	0.35042617
125	0.3411485
126	0.32960892
127	0.31611413
128	0.30607179
129	0.29576167
130	0.28500953
131	0.27537
132	0.26439896
