Point	Rp
1	56969800
2	1.3720002e+11
3	8.7830057e+09
4	7.3789997e+10
5	54114840
6	1.1800002e+11
7	4.5080019e+10
8	2.8850006e+11
9	4.739002e+10
10	9.9183002e+11
11	1.7080028e+10
12	1.8860001e+11
13	1.6880001e+11
14	1.009e+12
15	5.7211686e+08
16	7.0400003e+11
17	4.2720018e+11
18	4481660
19	3.6510061e+10
20	3.4100096e+09
21	26660650
22	4.4810007e+10
23	5.5300004e+11
24	91137792
25	7.4280131e+09
26	9.4520009e+10
27	2.0660017e+10
28	6.1280027e+10
29	5.0880008e+10
30	2.0730008e+10
31	2.7510004e+11
32	4.9490018e+10
33	3.3000001e+11
34	4.9410002e+11
35	64821060
36	9.52081e+09
37	3.9270023e+10
38	2.3670061e+10
39	3.7620004e+11
40	4.8350085e+09
41	45838780
42	1.6502203e+10
43	4653880
44	1.1520085e+10
45	1.236002e+10
46	1.0200007e+10
47	8356190
48	1.2980033e+10
49	7.9020007e+10
50	7.1290312e+09
51	4719770
52	6.6250007e+10
53	4.8550003e+11
54	5.5180009e+10
55	4.089285e+10
56	1.2450002e+11
57	1.819001e+10
58	3.4980008e+10
59	1.4170009e+10
60	1.4940001e+11
61	6.5780007e+10
62	1.6531875e+08
63	2.9820008e+10
64	5.9130024e+10
65	2.1210016e+10
66	2.5760001e+11
67	2.7860019e+10
68	7.2450002e+11
69	4.1880007e+10
70	2.4600266e+09
71	2.7400032e+10
72	1.8750005e+10
73	35427552
74	5.0160003e+11
75	5.8190008e+10
76	3.2810029e+10
77	3.7440218e+09
78	4.6960026e+10
79	2.206003e+10
80	1.9360008e+10
81	4.2690066e+09
82	63534340
83	4.141037e+11
84	1.176e+12
85	1.071e+11
86	8.2230005e+11
87	1.7650041e+10
88	6.6650007e+11
89	3.6970107e+09
90	2.2444243e+10
91	1.2990002e+11
92	1.9420023e+10
93	9.1770012e+10
94	5.2920009e+10
95	8.5210022e+10
96	2.9850055e+10
97	8.3420227e+09
98	2.0970011e+10
99	6.2210028e+10
100	1.8500041e+10
101	5.3240021e+10
102	1.3450001e+11
103	1.8040001e+11
104	1.252e+12
105	1.82865e+09
106	2.7690052e+10
107	3.4840003e+11
108	1.6400009e+10
109	1.1650009e+10
110	76673768
111	4.8590025e+10
112	1.4530024e+10
113	3.1200008e+10
114	8.5740012e+10
115	1.8400037e+10
116	3.5910002e+11
117	1.5440001e+11
118	5.0920001e+11
119	1.1480002e+11
120	5216030
121	8.0250094e+10
122	1.8330001e+11
123	1.8730009e+10
124	6.7920011e+10
125	4.550001e+10
126	1.8270002e+11
127	2.352e+12
128	6.7910108e+09
129	3.770001e+10
130	2.730001e+10
131	3.4430341e+10
132	3.9900029e+10
