Point	Rp
1	7.64881e+09
2	1.295258e+10
3	1.228594e+10
4	1.124145e+10
5	1.007822e+10
6	1.141948e+10
7	4.0500401e+09
8	6.67859e+09
9	4.6677202e+09
10	9.9019203e+09
11	6.4199199e+09
12	3.83613e+09
13	8.0980101e+09
14	2.512229e+10
15	2.3047631e+10
16	3.0795999e+10
17	2.41983e+09
18	3.5253359e+10
19	8.7395799e+09
20	16280867
21	44296000
22	3.5260412e+10
23	5.4023799e+10
24	16357000
25	17300400
26	3.9130792e+10
27	3.3436961e+10
28	9.5432202e+09
29	5.8645742e+10
30	4.0333541e+10
31	1.51298e+09
32	6.5601671e+10
33	3.399042e+10
34	7.8539402e+09
35	2.7491101e+10
36	1.5309e+10
37	2.134221e+10
38	2.5815601e+09
39	3.439163e+10
40	2.991478e+10
41	47820000
42	2.468174e+10
43	9.19006e+09
44	2.7446579e+10
45	1.413749e+10
46	4.14781e+09
47	2.4582029e+10
48	1.194819e+10
49	2.448903e+10
50	1.4231894e+11
51	3.180714e+10
52	2.8638799e+09
53	2.2142071e+10
54	5.9746202e+09
55	9.5194798e+09
56	7.165023e+10
57	44424000
58	65200000
59	2.75617e+09
60	14435743
61	2.3284199e+10
62	1.105367e+10
63	4.551639e+10
64	2.3735339e+10
65	14915000
66	34658568
67	1.117922e+10
68	3.0855961e+10
69	2.9152139e+10
70	40790000
71	3.7204791e+10
72	2.6227651e+10
73	14650310
74	14890009
75	5.6791478e+10
76	1.8128099e+10
77	17056200
78	48300000
79	3.445289e+10
80	2.15745e+09
81	2.9183681e+10
82	5.2162441e+10
83	50220000
84	4.41407e+10
85	42510000
86	1.382968e+10
87	50160000
88	16048580
89	6.7204598e+09
90	3.9245079e+10
91	9.424e+08
92	1.53622e+10
93	8.3921198e+09
94	2.2460286e+12
95	1.960339e+10
96	3.4020121e+10
97	3.8761057e+11
98	43575000
99	8.5862662e+10
100	3.4774001e+09
101	20720000
102	26850860
103	18900480
104	18324610
105	7.40578e+09
106	3.2317701e+09
107	2.1799111e+10
108	1.957e+11
109	2.1124121e+10
110	5.82424e+11
111	2.84594e+09
112	6.8210002e+09
113	6.4041619e+10
114	2.028597e+10
115	3.1477399e+09
116	2.202173e+10
117	3.5911361e+10
118	3.4062398e+11
119	5.816524e+10
120	6.6826232e+10
121	2.4991951e+10
122	3.2991101e+10
123	5.11179e+10
124	2.6454131e+10
125	1.5001882e+11
126	4.5032989e+10
127	5.7468621e+10
128	4.2557469e+10
129	1.6062531e+11
130	6.625654e+10
131	5.2338041e+10
132	3.11435e+10
