Point	Rp
1	9.2860003e+11
2	3.8370004e+11
3	21406520
4	34869900
5	42712648
6	8.0290038e+10
7	57910368
8	46603232
9	5.7804252e+09
10	40965480
11	10409660
12	46608928
13	42096488
14	6.5490043e+10
15	1.726e+11
16	16074000
17	9651410
18	11413010
19	31133130
20	1.074e+12
21	3.255474e+10
22	54603420
23	52771192
24	49667740
25	12581940
26	33767832
27	5.4580048e+10
28	12854770
29	42317320
30	24708990
31	50220740
32	53140160
33	21975240
34	44515980
35	34614672
36	5.051e+10
37	36459392
38	9.7980003e+11
39	2.163e+11
40	8.3320029e+10
41	40842180
42	48197320
43	30155560
44	9.0130039e+10
45	43767120
46	12748530
47	54067900
48	40017952
49	48858568
50	11566080
51	8.2810003e+10
52	4.4148359e+10
53	5.3900132e+10
54	7.5730035e+10
55	58443408
56	47524180
57	9.1350008e+10
58	2.1340004e+11
59	12430930
60	51742260
61	14277970
62	41807080
63	53998672
64	10029740
65	1.102707e+10
66	36302400
67	37888880
68	15666420
69	3.5260003e+11
70	18274590
71	55716840
72	33842072
73	56035952
74	57376100
75	52660300
76	31406770
77	33226750
78	59014032
79	1.1930148e+10
80	42455500
81	46732520
82	31048430
83	50200640
84	55000288
85	55268260
86	43414608
87	1.182366e+10
88	22910100
89	35650032
90	2.0681126e+10
91	2.3710116e+10
92	52894128
93	2.0360004e+11
94	45164520
95	32831340
96	35904088
97	30760010
98	1.9330004e+11
99	15183090
100	50171488
101	6.309334e+09
102	44359500
103	29006270
104	40111300
105	13213400
106	45628940
107	43303840
108	36209328
109	29660080
110	2.0852e+11
111	45490240
112	4.3535831e+10
113	3.8140031e+10
114	37762232
115	6.004e+11
116	3.0770026e+10
117	40410500
118	1.9120003e+11
119	3.9790005e+11
120	1.3990004e+11
121	1.5812961e+12
122	1.2200001e+12
123	4.6700003e+10
124	3.1568757e+10
125	4.2720039e+10
126	7.8240874e+10
127	29353470
128	1.0680004e+11
129	1.422002e+10
130	12376160
131	6.1190038e+10
132	7.1590752e+08
