Point	Rp
1	4.4020065e+09
2	1.8835839e+13
3	2.5400001e+11
4	33624600
5	1.8160015e+10
6	7.7600005e+11
7	9.3220065e+09
8	2.907e+11
9	8.5580005e+10
10	4.8390033e+10
11	9.3030093e+09
12	7.8840103e+10
13	2.5830007e+10
14	4289540
15	1.9240029e+11
16	6805580
17	4.5480177e+09
18	45543432
19	2.6700007e+10
20	5.0560008e+10
21	6.183019e+09
22	3.306685e+10
23	3.6750052e+09
24	5.7050026e+10
25	2.5170006e+10
26	3.2060006e+10
27	1.4010006e+11
28	3.1041262e+09
29	4.8580022e+10
30	
31	
32	
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
60	
61	
62	
63	
64	
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
75	
76	
77	
78	
79	
80	
81	
82	
83	
84	
85	
86	
87	
88	
89	
90	
91	
92	
93	
94	
95	
96	
97	
98	
99	
100	
101	
102	
103	
104	
105	
106	
107	
108	
109	
110	
111	
112	
113	
114	
115	
116	
117	
118	
119	
120	
121	
122	
123	
124	
125	
126	
127	
128	
129	
130	
131	
132	
