Point	Rp
1	1.0550002e+11
2	47019512
3	59904600
4	17603370
5	33603712
6	36512168
7	37982200
8	4.8100003e+11
9	4.3078001e+10
10	11901540
11	1.5720007e+10
12	11477970
13	40360888
14	48538540
15	1.0170001e+11
16	36039352
17	50580180
18	4.2790007e+10
19	50198712
20	43643460
21	34797020
22	5.6980005e+10
23	8.4044518e+09
24	1.0831232e+11
25	46217380
26	8.646e+11
27	67147608
28	86002160
29	41450140
30	2.9050006e+10
31	7.4220003e+10
32	42317608
33	5.9080081e+10
34	40734900
35	4.0210001e+12
36	1.6310002e+11
37	28656360
38	40493312
39	47524760
40	13950100
41	6.3323226e+10
42	22448530
43	1.271031e+10
44	2.511805e+10
45	35008728
46	1.1440002e+11
47	4.38618e+12
48	50698312
49	3.0150001e+11
50	31929310
51	4.6020039e+10
52	42715020
53	48377312
54	36396060
55	4.919081e+09
56	29960880
57	43190728
58	43510560
59	50698672
60	48038900
61	1.1560001e+11
62	36531072
63	1.0778268e+10
64	1.2960002e+11
65	36794208
66	27247510
67	8.068001e+10
68	51529440
69	47447940
70	10331960
71	3.0710032e+10
72	3.0257402e+08
73	3.1930001e+11
74	9307550
75	4.5178581e+10
76	23737230
77	34285248
78	12227210
79	49348288
80	36495480
81	49228920
82	43467888
83	49099912
84	33268470
85	38379728
86	48792760
87	34650760
88	41696912
89	1.3090003e+11
90	1.7270006e+10
91	1.6430322e+12
92	58278232
93	5.2000001e+12
94	26460630
95	2.2830003e+11
96	32649140
97	38787248
98	60753368
99	4.1670005e+10
100	38287552
101	33508060
102	48684260
103	42196180
104	5.917662e+10
105	2.7810007e+10
106	51815712
107	30495860
108	53121500
109	5.1500007e+10
110	40709288
111	66139140
112	11574210
113	47023360
114	2.1630003e+11
115	7.3996401e+09
116	42940832
117	6.5880005e+11
118	48543460
119	1.159024e+12
120	6.5140007e+10
121	1.292e+12
122	9.64612e+11
123	3.8270026e+10
124	7.3010004e+10
125	6.5229999e+11
126	2.1329369e+10
127	2.4290001e+11
128	8012700
129	3.080003e+10
130	6.3970009e+10
131	3.5470037e+10
132	3.5310031e+10
