Point	Rp
1	7.2570061e+09
2	2.9200017e+10
3	27891250
4	1.7860084e+09
5	3.2409512e+11
6	1.873e+11
7	7.9570094e+09
8	7.2430019e+10
9	3.068e+11
10	3.3260002e+11
11	24493510
12	3.3830004e+11
13	2.1830021e+10
14	4.5060006e+10
15	6.2000005e+10
16	1.071e+11
17	3.7640008e+10
18	1.2886788e+10
19	3.7860008e+10
20	1.043e+13
21	5.2170007e+10
22	2.9440006e+10
23	40907128
24	2.6460039e+10
25	74969936
26	3.1780002e+11
27	9.8730004e+11
28	2.903e+11
29	8.4950008e+10
30	9.3370081e+09
31	7.637001e+10
32	2.8430021e+10
33	1.6920046e+09
34	2.3719481e+11
35	21154830
36	5.565036e+09
37	9.0323999e+09
38	35165712
39	3.0790002e+11
40	2.363001e+10
41	2.4020002e+11
42	1.6072253e+08
43	2.864002e+10
44	4.5330293e+10
45	6.7711744e+08
46	59570700
47	2.5250114e+10
48	2.2460006e+10
49	1.1330002e+11
50	1.9400018e+10
51	9.5300043e+10
52	2.9800022e+10
53	1.3352155e+08
54	2.950001e+10
55	4.5000012e+10
56	2.0361978e+08
57	1.1720002e+11
58	3.6042157e+08
59	4.751002e+10
60	4.9990025e+10
61	2.4678601e+10
62	5.7099002e+10
63	4570790
64	3.8610861e+08
65	2.8825e+10
66	8.3750001e+11
67	1.2240014e+10
68	4.329001e+10
69	3.0250007e+10
70	5821100
71	3.4590002e+11
72	21462840
73	6.4520008e+10
74	77199432
75	81274512
76	3.1230009e+10
77	1.0650007e+10
78	9.3250011e+10
79	3.1770008e+10
80	2.1240009e+10
81	8.4150088e+09
82	3.0000009e+10
83	2.553e+12
84	5.8510008e+10
85	1.4590009e+10
86	77658064
87	7.0112742e+08
88	8.4020027e+10
89	84059072
90	3.6720009e+10
91	7.00303e+09
92	4.1990009e+10
93	4842300
94	1.0042183e+08
95	83459104
96	2.1930027e+10
97	2.1330006e+10
98	2.2320044e+11
99	3.5200002e+11
100	2.9520003e+11
101	6.4750027e+10
102	3.4710039e+09
103	1.1920002e+11
104	18316260
105	1.372002e+10
106	7084540
107	48883488
108	8.9660006e+10
109	1.5910001e+11
110	4506720
111	2.7450008e+10
112	49975740
113	3.9853064e+09
114	2.933001e+10
115	7.877002e+10
116	3.9110009e+10
117	7.8210007e+10
118	2.2982402e+08
119	7.1130014e+10
120	35669792
121	2.9799999e+11
122	4584440
123	3632970
124	9.7682995e+09
125	4.1160008e+10
126	5083090
127	62769032
128	8.6070018e+10
129	2.6320001e+11
130	2.4090396e+11
131	6.0020036e+10
132	5223180
