Point	Row	Column	110_s_Area
1	1	1	0.31278697
2	1	2	0.32932499
3	1	3	0.34504685
4	1	4	0.3608748
5	1	5	0.37875119
6	1	6	0.3933754
7	1	7	0.4064934
8	1	8	0.42433399
9	1	9	0.43565941
10	1	10	0.4519414
11	1	11	0.46730223
12	2	1	0.27848801
13	2	2	0.2912398
14	2	3	0.3048878
15	2	4	0.31482762
16	2	5	0.3323372
17	2	6	0.348831
18	2	7	0.3570374
19	2	8	0.36641741
20	2	9	0.38047063
21	2	10	0.3932988
22	2	11	0.41115239
23	3	1	0.26259041
24	3	2	0.26917061
25	3	3	0.27558759
26	3	4	0.28491539
27	3	5	0.29041359
28	3	6	0.2969664
29	3	7	0.30462581
30	3	8	0.31260863
31	3	9	0.3246426
32	3	10	0.3300882
33	3	11	0.34611535
34	4	1	0.26176319
35	4	2	0.2658408
36	4	3	0.2611478
37	4	4	0.26798061
38	4	5	0.26659039
39	4	6	0.27193177
40	4	7	0.27099481
41	4	8	0.27551943
42	4	9	0.27868402
43	4	10	0.2911056
44	4	11	0.30801979
