Point	Row	Column	_s_MaxIntensity
1	1	1	0.044404097
2	1	2	0.047302999
3	1	3	0.042535305
4	1	4	0.046991002
5	1	5	0.045541201
6	1	6	0.047560401
7	1	7	0.0474886
8	1	8	0.047655601
9	1	9	0.0472918
10	1	10	0.050618801
11	1	11	0.055201706
12	2	1	0.034228999
13	2	2	0.046999801
14	2	3	0.046503998
15	2	4	0.053497706
16	2	5	0.056002401
17	2	6	0.059689801
18	2	7	0.058653001
19	2	8	0.054626402
20	2	9	0.054870106
21	2	10	0.058796201
22	2	11	0.068915203
23	3	1	0.035310399
24	3	2	0.044239905
25	3	3	0.053786799
26	3	4	0.058913201
27	3	5	0.057091199
28	3	6	0.066777803
29	3	7	0.065688401
30	3	8	0.074813507
31	3	9	0.072443597
32	3	10	0.075805597
33	3	11	0.082598493
34	4	1	0.036593698
35	4	2	0.050110001
36	4	3	0.0490098
37	4	4	0.061290201
38	4	5	0.06984929
39	4	6	0.07092049
40	4	7	0.073825799
41	4	8	0.072581507
42	4	9	0.078364506
43	4	10	0.076195799
44	4	11	0.0907254
