Point	Row	Column	FWHM_111
1	1	1	0.45151868
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	0.66704047
14	2	3	0.58106792
15	2	4	0.50302303
16	2	5	0.53626013
17	2	6	0.47606191
18	2	7	0.51371425
19	2	8	0.60103291
20	2	9	0.56095684
21	2	10	
22	2	11	
23	3	1	
24	3	2	0.55656362
25	3	3	0.45625794
26	3	4	0.55638206
27	3	5	0.48026267
28	3	6	0.47338736
29	3	7	0.4882026
30	3	8	0.64365005
31	3	9	
32	3	10	
33	3	11	
34	4	1	
35	4	2	
36	4	3	0.53793466
37	4	4	0.495083
38	4	5	0.44510502
39	4	6	0.39953393
40	4	7	0.37744257
41	4	8	0.29449254
42	4	9	
43	4	10	
44	4	11	
