Point	Row	Column	Frac_110
1	1	1	0.79535437
2	1	2	1
3	1	3	1
4	1	4	1
5	1	5	1
6	1	6	1
7	1	7	1
8	1	8	1
9	1	9	1
10	1	10	1
11	1	11	1
12	2	1	1
13	2	2	0.81536496
14	2	3	0.78751117
15	2	4	0.76914877
16	2	5	0.75877714
17	2	6	0.75825119
18	2	7	0.78595167
19	2	8	0.79951566
20	2	9	0.82686204
21	2	10	1
22	2	11	1
23	3	1	1
24	3	2	0.72028536
25	3	3	0.70632571
26	3	4	0.73749089
27	3	5	0.72536451
28	3	6	0.74417531
29	3	7	0.75323075
30	3	8	0.7875734
31	3	9	1
32	3	10	1
33	3	11	1
34	4	1	
35	4	2	
36	4	3	0.55470192
37	4	4	0.58653724
38	4	5	0.5630672
39	4	6	0.60689145
40	4	7	0.62465441
41	4	8	0.68489873
42	4	9	1
43	4	10	1
44	4	11	1
