FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba1.0O3,01243,28,3,6,4.1017871,0.5200299,0.47338736,1395.067,479.58124000000004,30.791012,37.951431,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,29,3,7,4.1029434,0.5336808000000001,0.4882026,1388.3395,454.84002999999996,30.782120000000003,37.932186,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,30,3,8,4.103359200000001,0.51622093,0.64365005,1368.4476,369.10177999999996,30.778921,37.968216,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,31,3,9,4.1051936,0.51748794,,1325.8438,,30.764826,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,32,3,10,4.1047821,0.53115976,,1255.239,,30.76799,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,33,3,11,4.1035867,0.50303102,,1199.8419,,30.777174,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,34,4,1,,,,,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,35,4,2,,,,,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,36,4,3,4.1026626,0.68902946,0.53793466,393.05157,315.53,30.784275,38.015503,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,37,4,4,4.098842100000001,0.61588991,0.495083,543.84808,383.37023999999997,30.813684000000002,38.023582,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,38,4,5,4.093403299999999,0.64477289,0.44510502,616.8158599999999,478.64105,30.855642,38.030712,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,39,4,6,4.0920701,0.58952165,0.39953393,708.85162,459.15234000000004,30.865946,38.054588,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,40,4,7,4.0902472,0.53679454,0.37744257,770.9068599999999,463.22655999999995,30.880046999999998,38.066803,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,41,4,8,4.0878148,0.55225086,0.29449254,802.63873,369.2699,30.898878000000003,38.105877,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,42,4,9,4.0884824,0.5343926,,854.8684099999999,,30.893704999999997,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,43,4,10,4.0819526,0.56895447,,1054.7906,,30.944363,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,44,4,11,4.0749388,0.63719267,,981.0079300000001,,30.998959999999997,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
