Point	Row	Column	a_Ang
1	1	1	4.1014113
2	1	2	4.1074238
3	1	3	4.1060724
4	1	4	4.101728
5	1	5	4.1021357
6	1	6	4.0986257
7	1	7	4.0974336
8	1	8	4.0951972
9	1	9	4.0910354
10	1	10	4.0772672
11	1	11	4.0700026
12	2	1	4.115159
13	2	2	4.1112142
14	2	3	4.109767
15	2	4	4.1090055
16	2	5	4.109076
17	2	6	4.1073623
18	2	7	4.1070261
19	2	8	4.1055374
20	2	9	4.1047869
21	2	10	4.1010318
22	2	11	4.0965734
23	3	1	4.109489
24	3	2	4.1072087
25	3	3	4.1043429
26	3	4	4.101377
27	3	5	4.1008377
28	3	6	4.1017871
29	3	7	4.1029434
30	3	8	4.1033592
31	3	9	4.1051936
32	3	10	4.1047821
33	3	11	4.1035867
34	4	1	
35	4	2	
36	4	3	4.1026626
37	4	4	4.0988421
38	4	5	4.0934033
39	4	6	4.0920701
40	4	7	4.0902472
41	4	8	4.0878148
42	4	9	4.0884824
43	4	10	4.0819526
44	4	11	4.0749388
