Point	Row	Column	_s_Sigma
1	1	1	0.18529019
2	1	2	0.1787658
3	1	3	0.1674882
4	1	4	0.15907981
5	1	5	0.1480186
6	1	6	0.1330428
7	1	7	0.1238758
8	1	8	0.11193581
9	1	9	0.10466401
10	1	10	0.094262801
11	1	11	0.086795598
12	2	1	0.2018192
13	2	2	0.18925183
14	2	3	0.17685799
15	2	4	0.1687686
16	2	5	0.15452962
17	2	6	0.14072101
18	2	7	0.12790979
19	2	8	0.1151854
20	2	9	0.1040706
21	2	10	0.092520811
22	2	11	0.083547197
23	3	1	0.19007321
24	3	2	0.18219402
25	3	3	0.1766234
26	3	4	0.16583042
27	3	5	0.149073
28	3	6	0.13428859
29	3	7	0.1202006
30	3	8	0.10632919
31	3	9	0.096277602
32	3	10	0.089621797
33	3	11	0.077654995
34	4	1	0.17702761
35	4	2	0.17078941
36	4	3	0.16486681
37	4	4	0.14967699
38	4	5	0.14492738
39	4	6	0.12904561
40	4	7	0.12319599
41	4	8	0.1098644
42	4	9	0.098421402
43	4	10	0.089191593
44	4	11	0.085798003
