Point	Row	Column	Pos_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	43.450672
14	2	3	43.570293
15	2	4	43.663292
16	2	5	
17	2	6	
18	2	7	43.855198
19	2	8	43.875908
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	43.515209
25	3	3	43.535965
26	3	4	
27	3	5	43.737427
28	3	6	43.806812
29	3	7	43.856136
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	43.500618
35	4	2	43.532131
36	4	3	43.58646
37	4	4	43.647873
38	4	5	43.688831
39	4	6	43.772552
40	4	7	43.838223
41	4	8	
42	4	9	
43	4	10	
44	4	11	
