Point	Row	Column	110_s_MaxIntensity
1	1	1	0.74248892
2	1	2	0.78186393
3	1	3	0.81371647
4	1	4	0.83673966
5	1	5	0.84992045
6	1	6	0.85260743
7	1	7	0.84456217
8	1	8	0.82599348
9	1	9	0.79756582
10	1	10	0.76037437
11	1	11	0.7158801
12	2	1	0.85008907
13	2	2	0.89967322
14	2	3	0.94087702
15	2	4	0.97195208
16	2	5	0.99144614
17	2	6	0.99830627
18	2	7	0.99197429
19	2	8	0.97246635
20	2	9	0.9404186
21	2	10	0.89708155
22	2	11	0.84424728
23	3	1	0.83881837
24	3	2	0.89012158
25	3	3	0.93362385
26	3	4	0.96746242
27	3	5	0.99001044
28	3	6	1
29	3	7	0.99664479
30	3	8	0.97975159
31	3	9	0.94979382
32	3	10	0.90792465
33	3	11	0.85591066
34	4	1	0.71495461
35	4	2	0.75836712
36	4	3	0.79558259
37	4	4	0.82498306
38	4	5	0.84521657
39	4	6	0.8551383
40	4	7	0.85400611
41	4	8	0.84156442
42	4	9	0.81811172
43	4	10	0.78451675
44	4	11	0.74216855
