Point	Row	Column	FWHM_111
1	1	1	0.42463163
2	1	2	0.42432553
3	1	3	0.42739743
4	1	4	0.46242461
5	1	5	0.4349038
6	1	6	0.42043322
7	1	7	0.42821696
8	1	8	0.44876838
9	1	9	0.4284122
10	1	10	0.42364731
11	1	11	0.44852999
12	2	1	0.45025012
13	2	2	0.45758018
14	2	3	0.44983992
15	2	4	0.4285261
16	2	5	0.44006419
17	2	6	0.44595218
18	2	7	0.44265684
19	2	8	0.45934454
20	2	9	0.42235053
21	2	10	0.4148773
22	2	11	0.40674695
23	3	1	0.43147823
24	3	2	0.41755205
25	3	3	0.41801554
26	3	4	0.42320502
27	3	5	0.43476224
28	3	6	0.42491364
29	3	7	0.43901145
30	3	8	0.45952117
31	3	9	0.42091087
32	3	10	0.41865787
33	3	11	0.38528538
34	4	1	0.44991672
35	4	2	0.60989583
36	4	3	0.52362019
37	4	4	0.43135771
38	4	5	0.52209812
39	4	6	0.44270462
40	4	7	0.45985624
41	4	8	0.50092608
42	4	9	0.44469523
43	4	10	0.43000403
44	4	11	0.40879673
