Point	Row	Column	Pos_110
1	1	1	30.258572
2	1	2	30.247385
3	1	3	30.332788
4	1	4	30.373058
5	1	5	30.387119
6	1	6	30.387451
7	1	7	30.442842
8	1	8	30.516001
9	1	9	30.508242
10	1	10	30.545519
11	1	11	30.569489
12	2	1	30.246656
13	2	2	30.340721
14	2	3	30.387749
15	2	4	30.435293
16	2	5	30.461662
17	2	6	30.492369
18	2	7	30.54965
19	2	8	30.576986
20	2	9	30.558563
21	2	10	30.571304
22	2	11	30.611221
23	3	1	30.288441
24	3	2	30.356073
25	3	3	30.399317
26	3	4	30.409899
27	3	5	30.498446
28	3	6	30.558502
29	3	7	30.590933
30	3	8	30.612669
31	3	9	30.603075
32	3	10	30.576286
33	3	11	30.609764
34	4	1	30.369656
35	4	2	30.387049
36	4	3	30.417267
37	4	4	30.452242
38	4	5	30.493542
39	4	6	30.552673
40	4	7	30.587593
41	4	8	30.579197
42	4	9	30.565723
43	4	10	30.559065
44	4	11	30.614391
