Point	Row	Column	PeakArea_110
1	1	1	12.730303
2	1	2	13.380168
3	1	3	12.790035
4	1	4	12.577795
5	1	5	13.127539
6	1	6	14.249391
7	1	7	13.60652
8	1	8	13.035764
9	1	9	13.802698
10	1	10	14.13268
11	1	11	14.142324
12	2	1	12.677813
13	2	2	12.63485
14	2	3	12.401796
15	2	4	12.402357
16	2	5	12.409739
17	2	6	12.760438
18	2	7	12.693646
19	2	8	12.573441
20	2	9	12.531638
21	2	10	14.056551
22	2	11	13.836005
23	3	1	12.615582
24	3	2	12.450047
25	3	3	12.590042
26	3	4	12.9061
27	3	5	12.462695
28	3	6	12.113742
29	3	7	11.933459
30	3	8	12.795064
31	3	9	13.230987
32	3	10	13.690313
33	3	11	13.609888
34	4	1	11.032211
35	4	2	9.7515602
36	4	3	7.9836102
37	4	4	8.0908108
38	4	5	8.9791307
39	4	6	10.642883
40	4	7	11.731453
41	4	8	13.231139
42	4	9	13.412902
43	4	10	14.974622
44	4	11	14.167388
