Point	Row	Column	110_s_Area
1	1	1	0.044219594
2	1	2	0.041228201
3	1	3	0.0400672
4	1	4	0.036183398
5	1	5	0.031936001
6	1	6	0.0317
7	1	7	0.0282238
8	1	8	0.025958402
9	1	9	0.025351202
10	1	10	0.029600799
11	1	11	0.0433494
12	2	1	0.041987799
13	2	2	0.039853003
14	2	3	0.037941601
15	2	4	0.035728998
16	2	5	0.032112803
17	2	6	0.028518002
18	2	7	0.025348
19	2	8	0.023742
20	2	9	0.0215756
21	2	10	0.024391003
22	2	11	0.035004001
23	3	1	0.040479202
24	3	2	0.039771803
25	3	3	0.036162201
26	3	4	0.033053003
27	3	5	0.032202601
28	3	6	0.0280184
29	3	7	0.0253058
30	3	8	0.022721797
31	3	9	0.0220016
32	3	10	0.0243742
33	3	11	0.034630798
34	4	1	0.045135006
35	4	2	0.041825
36	4	3	0.042214599
37	4	4	0.036951799
38	4	5	0.033699196
39	4	6	0.030408001
40	4	7	0.026982397
41	4	8	0.024968199
42	4	9	0.0253304
43	4	10	0.027448397
44	4	11	0.037665401
