Point	Row	Column	Ratio_200_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	0.040760219
14	2	3	0.053382147
15	2	4	0.044069961
16	2	5	
17	2	6	
18	2	7	0.049205534
19	2	8	0.043761484
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	0.044877712
25	3	3	0.045975428
26	3	4	
27	3	5	0.045496557
28	3	6	0.066942021
29	3	7	0.062742874
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	0.16195701
35	4	2	0.24624248
36	4	3	0.34976068
37	4	4	0.32323354
38	4	5	0.26309499
39	4	6	0.14760561
40	4	7	0.068680279
41	4	8	
42	4	9	
43	4	10	
44	4	11	
