Point	Row	Column	Zr_at
1	1	1	0.23686917
2	1	2	0.23070771
3	1	3	0.22134531
4	1	4	0.208353
5	1	5	0.1995669
6	1	6	0.1885915
7	1	7	0.17701849
8	1	8	0.16746181
9	1	9	0.15803732
10	1	10	0.1489898
11	1	11	0.14146189
12	2	1	0.2443597
13	2	2	0.23661593
14	2	3	0.2289578
15	2	4	0.2150647
16	2	5	0.20576352
17	2	6	0.19378592
18	2	7	0.17924219
19	2	8	0.1670282
20	2	9	0.1562393
21	2	10	0.14731011
22	2	11	0.13858721
23	3	1	0.23861291
24	3	2	0.23149712
25	3	3	0.2204181
26	3	4	0.20682292
27	3	5	0.1976317
28	3	6	0.1881189
29	3	7	0.17483421
30	3	8	0.16532318
31	3	9	0.1557509
32	3	10	0.1451053
33	3	11	0.13896428
34	4	1	0.22132532
35	4	2	0.2148335
36	4	3	0.2061398
37	4	4	0.1985864
38	4	5	0.18954319
39	4	6	0.1819032
40	4	7	0.16979349
41	4	8	0.1635171
42	4	9	0.15331431
43	4	10	0.14647488
44	4	11	0.1366574
