Point	Row	Column	_s_Area
1	1	1	0.20854948
2	1	2	0.2191499
3	1	3	0.2327043
4	1	4	0.24676549
5	1	5	0.2597363
6	1	6	0.27631629
7	1	7	0.28932521
8	1	8	0.30340162
9	1	9	0.31586584
10	1	10	0.32836229
11	1	11	0.3427915
12	2	1	0.2019079
13	2	2	0.21595213
14	2	3	0.22847679
15	2	4	0.2431933
16	2	5	0.25766802
17	2	6	0.27422464
18	2	7	0.29161119
19	2	8	0.3074277
20	2	9	0.32162759
21	2	10	0.33589914
22	2	11	0.34792539
23	3	1	0.2109841
24	3	2	0.22349922
25	3	3	0.2375275
26	3	4	0.25156233
27	3	5	0.26852801
28	3	6	0.2843895
29	3	7	0.29902229
30	3	8	0.31425297
31	3	9	0.32801899
32	3	10	0.3395327
33	3	11	0.35168496
34	4	1	0.22744982
35	4	2	0.236063
36	4	3	0.2480561
37	4	4	0.26202449
38	4	5	0.27316257
39	4	6	0.28812829
40	4	7	0.29946467
41	4	8	0.31190529
42	4	9	0.32653499
43	4	10	0.33706668
44	4	11	0.3496528
