Point	Row	Column	Fe_at
1	1	1	0.022109797
2	1	2	0.020614101
3	1	3	0.0200336
4	1	4	0.018091699
5	1	5	0.015968001
6	1	6	0.01585
7	1	7	0.0141119
8	1	8	0.012979201
9	1	9	0.012675601
10	1	10	0.0148004
11	1	11	0.0216747
12	2	1	0.0209939
13	2	2	0.019926501
14	2	3	0.018970801
15	2	4	0.017864499
16	2	5	0.016056402
17	2	6	0.014259001
18	2	7	0.012674
19	2	8	0.011871
20	2	9	0.0107878
21	2	10	0.012195501
22	2	11	0.017502001
23	3	1	0.020239601
24	3	2	0.019885901
25	3	3	0.018081101
26	3	4	0.016526502
27	3	5	0.016101301
28	3	6	0.0140092
29	3	7	0.0126529
30	3	8	0.011360899
31	3	9	0.0110008
32	3	10	0.0121871
33	3	11	0.017315399
34	4	1	0.022567503
35	4	2	0.0209125
36	4	3	0.021107299
37	4	4	0.018475899
38	4	5	0.016849598
39	4	6	0.015204
40	4	7	0.013491198
41	4	8	0.0124841
42	4	9	0.0126652
43	4	10	0.013724199
44	4	11	0.0188327
