Point	Row	Column	a_Ang
1	1	1	
2	1	2	
3	1	3	4.1255841
4	1	4	4.1324272
5	1	5	4.1302867
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	4.1256394
11	1	11	4.1277323
12	2	1	4.1381664
13	2	2	4.1399517
14	2	3	4.1403461
15	2	4	4.1409626
16	2	5	4.1401134
17	2	6	4.1398482
18	2	7	4.1384645
19	2	8	4.1364193
20	2	9	4.1291194
21	2	10	
22	2	11	4.1194711
23	3	1	4.1390324
24	3	2	4.1407847
25	3	3	4.1404805
26	3	4	4.1398315
27	3	5	4.139688
28	3	6	4.1388597
29	3	7	4.1345038
30	3	8	
31	3	9	4.1112194
32	3	10	4.1122088
33	3	11	4.1182914
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	4.111258
42	4	9	4.1149263
43	4	10	4.1283317
44	4	11	4.1398425
