FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01141,11,1,11,4.1277323,0.81315684,,,3689.7195,,,30.592722,,,45.37999,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,12,2,1,4.138166399999999,0.59427333,,,2710.1365,,,30.513706,,,5.4000001,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,13,2,2,4.1399517,0.60428238,0.40066740000000006,,2930.6938,256.18646,,30.500227000000002,37.609161,,9.397999800000001,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,14,2,3,4.1403461,0.60553205,0.3289884,,3000.9207,288.61942,,30.497252000000003,37.60474,,13.39599,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,15,2,4,4.140962600000001,0.59785348,,,3024.4714,,,30.492599,,,17.393998999999997,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,16,2,5,4.1401134,0.5802483,0.55118108,,3072.8005,323.1546,,30.499006,37.682095000000004,,21.391991,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,17,2,6,4.1398482,0.57491523,0.46712762,,3225.5674,257.6965,,30.501007,37.662144,,25.389999,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,18,2,7,4.1384644999999995,0.59159207,,,3247.9751,,,30.511456,,,29.38802,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,19,2,8,4.1364193,0.6043824000000001,0.40745503,,3269.9031,313.10632000000004,,30.526909000000003,37.64682,,33.386009,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,20,2,9,4.1291193999999996,0.76519954,,,3184.9966,,,30.582195000000002,,,37.384009999999996,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
