Point	Row	Column	MaxInt_110
1	1	1	
2	1	2	
3	1	3	2860.1921
4	1	4	3052.9465
5	1	5	3059.9319
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	3538.3555
11	1	11	3689.7195
12	2	1	2710.1365
13	2	2	2930.6938
14	2	3	3000.9207
15	2	4	3024.4714
16	2	5	3072.8005
17	2	6	3225.5674
18	2	7	3247.9751
19	2	8	3269.9031
20	2	9	3184.9966
21	2	10	
22	2	11	3543.8462
23	3	1	2756.0454
24	3	2	2901.6675
25	3	3	2934.9639
26	3	4	2998.6621
27	3	5	3049.5984
28	3	6	3119.7842
29	3	7	2960.0259
30	3	8	
31	3	9	4134.9873
32	3	10	5561.1831
33	3	11	6202.5161
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	5129.7773
42	4	9	5997.1714
43	4	10	6797.8447
44	4	11	7110.791
