Point	Row	Column	FWHM_110
1	1	1	
2	1	2	
3	1	3	0.91581863
4	1	4	0.7312004
5	1	5	0.76765287
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	0.8496691
11	1	11	0.81315684
12	2	1	0.59427333
13	2	2	0.60428238
14	2	3	0.60553205
15	2	4	0.59785348
16	2	5	0.5802483
17	2	6	0.57491523
18	2	7	0.59159207
19	2	8	0.6043824
20	2	9	0.76519954
21	2	10	
22	2	11	0.96622908
23	3	1	0.58876562
24	3	2	0.58162397
25	3	3	0.5969274
26	3	4	0.59459889
27	3	5	0.5825448
28	3	6	0.57160264
29	3	7	0.62785161
30	3	8	
31	3	9	0.99680662
32	3	10	0.79529804
33	3	11	0.67375177
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	0.85177445
42	4	9	0.72297156
43	4	10	0.5672099
44	4	11	0.53565449
