Point	Row	Column	Pos_110
1	1	1	
2	1	2	
3	1	3	30.609041
4	1	4	30.557117
5	1	5	30.573339
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	30.60862
11	1	11	30.592722
12	2	1	30.513706
13	2	2	30.500227
14	2	3	30.497252
15	2	4	30.492599
16	2	5	30.499006
17	2	6	30.501007
18	2	7	30.511456
19	2	8	30.526909
20	2	9	30.582195
21	2	10	
22	2	11	30.655577
23	3	1	30.507168
24	3	2	30.49394
25	3	3	30.496237
26	3	4	30.501135
27	3	5	30.502216
28	3	6	30.508469
29	3	7	30.541393
30	3	8	
31	3	9	30.718624
32	3	10	30.71105
33	3	11	30.664574
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	30.718328
42	4	9	30.690269
43	4	10	30.588173
44	4	11	30.501049
