Point	Row	Column	_s_MaxIntensity
1	1	1	0.12610681
2	1	2	0.1268501
3	1	3	0.12596837
4	1	4	0.1290134
5	1	5	0.12928049
6	1	6	0.12888236
7	1	7	0.12863623
8	1	8	0.11976337
9	1	9	0.11515009
10	1	10	0.10705115
11	1	11	0.099493541
12	2	1	0.072989918
13	2	2	0.077303253
14	2	3	0.08079657
15	2	4	0.081040725
16	2	5	0.083446451
17	2	6	0.086378194
18	2	7	0.091606796
19	2	8	0.093941882
20	2	9	0.097353615
21	2	10	0.099904902
22	2	11	0.1070236
23	3	1	0.07628569
24	3	2	0.080624565
25	3	3	0.08144369
26	3	4	0.08180587
27	3	5	0.080787666
28	3	6	0.078868195
29	3	7	0.079911172
30	3	8	0.078089841
31	3	9	0.082254961
32	3	10	0.082837343
33	3	11	0.085328616
34	4	1	0.086556032
35	4	2	0.091301613
36	4	3	0.088573605
37	4	4	0.090661645
38	4	5	0.095475256
39	4	6	0.099354543
40	4	7	0.10102744
41	4	8	0.10601094
42	4	9	0.10901906
43	4	10	0.11436526
44	4	11	0.11367713
