Point	Row	Column	Co_at
1	1	1	0.49949831
2	1	2	0.50273639
3	1	3	0.50345659
4	1	4	0.50697052
5	1	5	0.50887674
6	1	6	0.50954413
7	1	7	0.51175225
8	1	8	0.50981504
9	1	9	0.51323348
10	1	10	0.50957799
11	1	11	0.50666207
12	2	1	0.46160576
13	2	2	0.46248648
14	2	3	0.46475279
15	2	4	0.4660027
16	2	5	0.46737912
17	2	6	0.47417629
18	2	7	0.47933552
19	2	8	0.48364592
20	2	9	0.4915902
21	2	10	0.4965415
22	2	11	0.50300348
23	3	1	0.46379089
24	3	2	0.46475911
25	3	3	0.46522143
26	3	4	0.46541917
27	3	5	0.46504241
28	3	6	0.46616554
29	3	7	0.46789056
30	3	8	0.46833715
31	3	9	0.47421348
32	3	10	0.47689715
33	3	11	0.48230049
34	4	1	0.48436862
35	4	2	0.48522684
36	4	3	0.48337513
37	4	4	0.48251805
38	4	5	0.4809725
39	4	6	0.48245698
40	4	7	0.48103148
41	4	8	0.48413202
42	4	9	0.48752406
43	4	10	0.48776856
44	4	11	0.49297997
