Point	Row	Column	Zr_at
1	1	1	0.063555099
2	1	2	0.06068866
3	1	3	0.059527569
4	1	4	0.057536196
5	1	5	0.055763483
6	1	6	0.05489704
7	1	7	0.052565895
8	1	8	0.050066631
9	1	9	0.044341587
10	1	10	0.043947589
11	1	11	0.043084677
12	2	1	0.074889205
13	2	2	0.076165162
14	2	3	0.075645499
15	2	4	0.074517652
16	2	5	0.074344091
17	2	6	0.069012821
18	2	7	0.066467874
19	2	8	0.063325033
20	2	9	0.057086602
21	2	10	0.053410947
22	2	11	0.050508305
23	3	1	0.074351944
24	3	2	0.075553171
25	3	3	0.075500406
26	3	4	0.075483777
27	3	5	0.075351417
28	3	6	0.073268548
29	3	7	0.072065018
30	3	8	0.070707783
31	3	9	0.066914007
32	3	10	0.064521521
33	3	11	0.060363818
34	4	1	0.058909383
35	4	2	0.060423981
36	4	3	0.060911674
37	4	4	0.06281279
38	4	5	0.06676513
39	4	6	0.0672203
40	4	7	0.069482252
41	4	8	0.06887345
42	4	9	0.06698548
43	4	10	0.069414057
44	4	11	0.063858598
