Point	Row	Column	PeakArea_110
1	1	1	5.8211126
2	1	2	6.5687819
3	1	3	8.0890274
4	1	4	8.8001213
5	1	5	8.9721584
6	1	6	8.5371361
7	1	7	8.3499479
8	1	8	7.4671865
9	1	9	6.1639175
10	1	10	4.4223824
11	1	11	3.4508092
12	2	1	7.7454238
13	2	2	8.2553577
14	2	3	6.6322803
15	2	4	6.1224151
16	2	5	6.8882837
17	2	6	7.4463739
18	2	7	7.3720202
19	2	8	6.9499359
20	2	9	6.2605562
21	2	10	5.5309477
22	2	11	4.786561
23	3	1	9.0738153
24	3	2	8.1650267
25	3	3	7.6881042
26	3	4	7.5857792
27	3	5	7.8342972
28	3	6	8.5580826
29	3	7	8.8786383
30	3	8	8.1500053
31	3	9	7.3693328
32	3	10	6.3556767
33	3	11	5.3567505
34	4	1	6.6375008
35	4	2	7.3727236
36	4	3	6.9083543
37	4	4	7.2349272
38	4	5	7.3112669
39	4	6	7.3745837
40	4	7	7.1923132
41	4	8	6.8635693
42	4	9	6.4618983
43	4	10	6.5382137
44	4	11	5.4057856
