Point	Row	Column	d_um
1	1	1	0.16503
2	1	2	0.16582
3	1	3	0.16319001
4	1	4	0.15696999
5	1	5	0.14782999
6	1	6	0.13688
7	1	7	0.12354
8	1	8	0.11068
9	1	9	0.097290002
10	1	10	0.085510001
11	1	11	0.074369997
12	2	1	0.19851001
13	2	2	0.20242999
14	2	3	0.20265999
15	2	4	0.19751
16	2	5	0.18751
17	2	6	0.17361
18	2	7	0.15847
19	2	8	0.14271
20	2	9	0.12567
21	2	10	0.11123
22	2	11	0.096089996
23	3	1	0.16898
24	3	2	0.17441
25	3	3	0.17662001
26	3	4	0.17463
27	3	5	0.1693
28	3	6	0.15954
29	3	7	0.14756
30	3	8	0.13466001
31	3	9	0.12074
32	3	10	0.10684
33	3	11	0.093050003
34	4	1	0.10415
35	4	2	0.11029
36	4	3	0.11462
37	4	4	0.11817
38	4	5	0.11923
39	4	6	0.11647
40	4	7	0.11229
41	4	8	0.10538
42	4	9	0.096129999
43	4	10	0.086920001
44	4	11	0.076990001
