Point	Row	Column	a_Ang
1	1	1	4.0104489
2	1	2	4.0019827
3	1	3	3.9990861
4	1	4	3.9973519
5	1	5	3.9958737
6	1	6	3.9934702
7	1	7	3.9920135
8	1	8	3.9910436
9	1	9	3.989192
10	1	10	3.9896152
11	1	11	3.9938078
12	2	1	4.0804915
13	2	2	4.0795455
14	2	3	4.0606761
15	2	4	4.0426149
16	2	5	4.0318813
17	2	6	4.0234857
18	2	7	4.0158882
19	2	8	4.0080609
20	2	9	4.0005722
21	2	10	3.9940619
22	2	11	3.9916389
23	3	1	4.0777287
24	3	2	4.0722241
25	3	3	4.0634947
26	3	4	4.0561433
27	3	5	4.0508094
28	3	6	4.0448709
29	3	7	4.0399752
30	3	8	4.0315919
31	3	9	4.021884
32	3	10	4.0133238
33	3	11	4.0080462
34	4	1	4.0442123
35	4	2	4.036273
36	4	3	4.0259361
37	4	4	4.0226827
38	4	5	4.0207729
39	4	6	4.0180006
40	4	7	4.0150228
41	4	8	4.0149617
42	4	9	4.0189967
43	4	10	4.0311103
44	4	11	4.0445485
