Point	Row	Column	Zr_at
1	1	1	0.37674642
2	1	2	0.37272322
3	1	3	0.36803988
4	1	4	0.36312062
5	1	5	0.35658759
6	1	6	0.34814191
7	1	7	0.34179589
8	1	8	0.33364749
9	1	9	0.32832283
10	1	10	0.32182154
11	1	11	0.31567883
12	2	1	0.38535357
13	2	2	0.38765272
14	2	3	0.38544255
15	2	4	0.38539588
16	2	5	0.38348973
17	2	6	0.37972385
18	2	7	0.37670559
19	2	8	0.3697874
20	2	9	0.36095759
21	2	10	0.3522816
22	2	11	0.34516031
23	3	1	0.38464111
24	3	2	0.38629991
25	3	3	0.38431883
26	3	4	0.38498047
27	3	5	0.38492593
28	3	6	0.38333675
29	3	7	0.3824268
30	3	8	0.37876806
31	3	9	0.37614837
32	3	10	0.36901388
33	3	11	0.36599162
34	4	1	0.35859886
35	4	2	0.36055252
36	4	3	0.36363769
37	4	4	0.36640868
38	4	5	0.36939588
39	4	6	0.37436658
40	4	7	0.37870866
41	4	8	0.38061836
42	4	9	0.38047659
43	4	10	0.37969258
44	4	11	0.37782714
