Point	Row	Column	Norm_Int110
1	1	1	26.072248
2	1	2	27.110527
3	1	3	31.754204
4	1	4	27.87014
5	1	5	23.161303
6	1	6	17.838564
7	1	7	14.215008
8	1	8	12.822906
9	1	9	14.514075
10	1	10	16.15439
11	1	11	15.605005
12	2	1	22.881937
13	2	2	24.000036
14	2	3	24.102346
15	2	4	23.48727
16	2	5	22.289324
17	2	6	20.923546
18	2	7	20.368198
19	2	8	20.294641
20	2	9	19.553999
21	2	10	19.659416
22	2	11	18.510265
23	3	1	26.028763
24	3	2	25.614929
25	3	3	23.866163
26	3	4	22.323698
27	3	5	20.879105
28	3	6	19.975468
29	3	7	18.971334
30	3	8	19.047131
31	3	9	18.170513
32	3	10	18.359118
33	3	11	17.737886
34	4	1	29.997665
35	4	2	29.259478
36	4	3	26.025606
37	4	4	22.258612
38	4	5	18.991323
39	4	6	16.849148
40	4	7	15.797608
41	4	8	15.96917
42	4	9	17.530994
43	4	10	18.579643
44	4	11	17.919207
