Point	Row	Column	a_Ang
1	1	1	4.2030697
2	1	2	4.2154813
3	1	3	4.2202024
4	1	4	4.2203474
5	1	5	4.2210498
6	1	6	4.2222347
7	1	7	4.2225509
8	1	8	4.2240205
9	1	9	4.2242312
10	1	10	4.2263994
11	1	11	4.2282033
12	2	1	4.2106066
13	2	2	4.2158966
14	2	3	4.218338
15	2	4	4.219203
16	2	5	4.2182903
17	2	6	4.2176547
18	2	7	4.2174191
19	2	8	4.2170677
20	2	9	4.2162004
21	2	10	4.2168078
22	2	11	4.2182631
23	3	1	4.2127056
24	3	2	4.2145243
25	3	3	4.2147989
26	3	4	4.2148218
27	3	5	4.213172
28	3	6	4.2123013
29	3	7	4.2108774
30	3	8	4.2090874
31	3	9	4.2094979
32	3	10	4.2099805
33	3	11	4.2092795
34	4	1	4.2115102
35	4	2	4.2109466
36	4	3	4.2093267
37	4	4	4.2076249
38	4	5	4.2059579
39	4	6	4.2025666
40	4	7	4.1992693
41	4	8	4.1978474
42	4	9	4.197475
43	4	10	4.1944776
44	4	11	4.1947575
