Point	Row	Column	FWHM_111
1	1	1	0.43055293
2	1	2	0.43162534
3	1	3	0.51745194
4	1	4	0.50076658
5	1	5	0.86170626
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	0.41286898
13	2	2	0.50348449
14	2	3	0.48957333
15	2	4	0.46311462
16	2	5	0.67978948
17	2	6	0.72580922
18	2	7	0.46241105
19	2	8	
20	2	9	0.67358947
21	2	10	
22	2	11	
23	3	1	0.50089139
24	3	2	0.48966399
25	3	3	0.67630744
26	3	4	0.56670177
27	3	5	0.68661159
28	3	6	0.86659753
29	3	7	0.85249949
30	3	8	
31	3	9	0.57552582
32	3	10	
33	3	11	
34	4	1	
35	4	2	0.55361581
36	4	3	0.70289254
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
