Point	Row	Column	_s_FWHM
1	1	1	0.75349283
2	1	2	0.74544644
3	1	3	0.73607975
4	1	4	0.72624123
5	1	5	0.71317518
6	1	6	0.69628382
7	1	7	0.68359178
8	1	8	0.66729498
9	1	9	0.65664566
10	1	10	0.64364308
11	1	11	0.63135767
12	2	1	0.77070713
13	2	2	0.77530545
14	2	3	0.77088511
15	2	4	0.77079177
16	2	5	0.76697946
17	2	6	0.75944769
18	2	7	0.75341117
19	2	8	0.73957479
20	2	9	0.72191519
21	2	10	0.7045632
22	2	11	0.69032061
23	3	1	0.76928222
24	3	2	0.77259982
25	3	3	0.76863766
26	3	4	0.76996094
27	3	5	0.76985186
28	3	6	0.76667351
29	3	7	0.7648536
30	3	8	0.75753611
31	3	9	0.75229675
32	3	10	0.73802775
33	3	11	0.73198324
34	4	1	0.71719772
35	4	2	0.72110504
36	4	3	0.72727537
37	4	4	0.73281735
38	4	5	0.73879176
39	4	6	0.74873316
40	4	7	0.75741732
41	4	8	0.76123673
42	4	9	0.76095319
43	4	10	0.75938517
44	4	11	0.75565428
