Point	Row	Column	Norm_d
1	1	1	0.74915063
2	1	2	0.75290203
3	1	3	0.72657132
4	1	4	0.68148357
5	1	5	0.60199606
6	1	6	0.50750285
7	1	7	0.40253398
8	1	8	0.29777747
9	1	9	0.19132219
10	1	10	0.091237262
11	1	11	0
12	2	1	0.98372024
13	2	2	0.99872595
14	2	3	1
15	2	4	0.95031142
16	2	5	0.87280577
17	2	6	0.77633071
18	2	7	0.65543604
19	2	8	0.53822196
20	2	9	0.41612402
21	2	10	0.29084089
22	2	11	0.17383918
23	3	1	0.75007081
24	3	2	0.79084086
25	3	3	0.79763591
26	3	4	0.77810025
27	3	5	0.72097963
28	3	6	0.64842868
29	3	7	0.55436015
30	3	8	0.45116082
31	3	9	0.35050961
32	3	10	0.24023217
33	3	11	0.14290769
34	4	1	0.31150907
35	4	2	0.35787091
36	4	3	0.39142129
37	4	4	0.4108862
38	4	5	0.40189695
39	4	6	0.37032843
40	4	7	0.32347113
41	4	8	0.25920159
42	4	9	0.19040205
43	4	10	0.11501982
44	4	11	0.041761041
