Point	Row	Column	Fe_at
1	1	1	0.040735558
2	1	2	0.04175346
3	1	3	0.041497994
4	1	4	0.041804489
5	1	5	0.041013401
6	1	6	0.043489508
7	1	7	0.043173153
8	1	8	0.043304954
9	1	9	0.04460806
10	1	10	0.044584852
11	1	11	0.045159444
12	2	1	0.033393085
13	2	2	0.034183465
14	2	3	0.034209721
15	2	4	0.035371654
16	2	5	0.03622916
17	2	6	0.037166286
18	2	7	0.037576512
19	2	8	0.037503738
20	2	9	0.040144138
21	2	10	0.041458886
22	2	11	0.042482417
23	3	1	0.036201369
24	3	2	0.036794022
25	3	3	0.03711839
26	3	4	0.03664168
27	3	5	0.036013536
28	3	6	0.036472622
29	3	7	0.035469353
30	3	8	0.036257327
31	3	9	0.035616785
32	3	10	0.036728006
33	3	11	0.035129432
34	4	1	0.041416772
35	4	2	0.03874879
36	4	3	0.038535714
37	4	4	0.038439482
38	4	5	0.039646883
39	4	6	0.037319347
40	4	7	0.040451139
41	4	8	0.040516235
42	4	9	0.038971636
43	4	10	0.039537013
44	4	11	0.03919892
