Point	Row	Column	Y_at
1	1	1	0.035176199
2	1	2	0.030424399
3	1	3	0.033879105
4	1	4	0.034639399
5	1	5	0.037174005
6	1	6	0.038489696
7	1	7	0.038919196
8	1	8	0.039913699
9	1	9	0.041483495
10	1	10	0.042923201
11	1	11	0.0410439
12	2	1	0.030300301
13	2	2	0.034173097
14	2	3	0.036646798
15	2	4	0.038833302
16	2	5	0.041778404
17	2	6	0.044245504
18	2	7	0.048708402
19	2	8	0.0499053
20	2	9	0.0528263
21	2	10	0.056767706
22	2	11	0.058060698
23	3	1	0.034548704
24	3	2	0.038539298
25	3	3	0.040934402
26	3	4	0.0469786
27	3	5	0.0511631
28	3	6	0.058145098
29	3	7	0.058270499
30	3	8	0.063103199
31	3	9	0.064059094
32	3	10	0.065731503
33	3	11	0.071276799
34	4	1	0.037048399
35	4	2	0.048797298
36	4	3	0.045373801
37	4	4	0.052721798
38	4	5	0.0547598
39	4	6	0.0606324
40	4	7	0.06829071
41	4	8	0.070702597
42	4	9	0.07124339
43	4	10	0.073762402
44	4	11	0.073332302
