Point	Row	Column	a_Ang
1	1	1	4.1356897
2	1	2	4.134263
3	1	3	4.132792
4	1	4	4.1320834
5	1	5	4.1312594
6	1	6	4.1319699
7	1	7	4.1318035
8	1	8	4.1309566
9	1	9	4.1312947
10	1	10	4.1316042
11	1	11	4.1315818
12	2	1	4.1392817
13	2	2	4.1376996
14	2	3	4.1356649
15	2	4	4.1340222
16	2	5	4.1330633
17	2	6	4.1330199
18	2	7	4.1334949
19	2	8	4.1340737
20	2	9	4.1346393
21	2	10	4.1346393
22	2	11	4.1350946
23	3	1	4.1371455
24	3	2	4.1368618
25	3	3	4.1364951
26	3	4	4.1371245
27	3	5	4.1366882
28	3	6	4.1365399
29	3	7	4.1366472
30	3	8	4.1369233
31	3	9	4.1385694
32	3	10	4.1385236
33	3	11	4.1377006
34	4	1	4.1400323
35	4	2	4.1410079
36	4	3	4.140336
37	4	4	4.1399689
38	4	5	4.1410108
39	4	6	4.1421881
40	4	7	4.142601
41	4	8	4.1424427
42	4	9	4.1427493
43	4	10	4.1428442
44	4	11	4.1421089
